factor,horizon,cost_bps,mode,gross_return,net_return,cost_model,accounting_method,pnl_frequency,capacity_status,n_rebalances,annualized_return,sharpe,sortino,max_drawdown,turnover,hit_rate,status
momentum_1h,24,5,long_only,0.08171975598365082,0.08112927979317464,proxy; fee + slippage (+ gas for DEX if configured),non_overlapping_rebalance,24h,NOT_AVAILABLE_NO_EXECUTABLE_DEPTH,5,1618499015484488.5,25.207213275267918,,0.0,1.1809523809523808,1.0,computed
momentum_1h,24,10,long_only,0.08171975598365082,0.08053880360269845,proxy; fee + slippage (+ gas for DEX if configured),non_overlapping_rebalance,24h,NOT_AVAILABLE_NO_EXECUTABLE_DEPTH,5,1265147294592871.8,25.10276369602923,,0.0,1.1809523809523808,1.0,computed
momentum_1h,24,25,long_only,0.08171975598365082,0.07876737503126988,proxy; fee + slippage (+ gas for DEX if configured),non_overlapping_rebalance,24h,NOT_AVAILABLE_NO_EXECUTABLE_DEPTH,5,603628250835356.5,24.781202254846626,,0.0,1.1809523809523808,1.0,computed
momentum_1h,24,50,long_only,0.08171975598365082,0.07581499407888892,proxy; fee + slippage (+ gas for DEX if configured),non_overlapping_rebalance,24h,NOT_AVAILABLE_NO_EXECUTABLE_DEPTH,5,175234068310400.66,24.217282125358352,,0.0,1.1809523809523808,1.0,computed
momentum_1h,24,100,long_only,0.08171975598365082,0.06991023217412702,proxy; fee + slippage (+ gas for DEX if configured),non_overlapping_rebalance,24h,NOT_AVAILABLE_NO_EXECUTABLE_DEPTH,5,14572045574484.719,22.980465968574837,,-0.0004599843417820715,1.1809523809523808,0.8,computed
