split,factor,horizon,train_start,train_end,test_start,test_end,embargo_hours,n_timestamps,n_observations,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status,scope
first_half,amihud_illiquidity,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,1,5,0.0063532401524777635,1,0.6,0.6,,,1.0,,,,,,,computed,subperiod
second_half,amihud_illiquidity,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,106,5078,0.5465504251426111,106,-0.008099588326724362,0.016719948221974076,0.23877974933304996,-0.3492355023369128,0.6037735849056604,-0.34923550233691275,0.7276119198637232,-0.3907244379259971,0.696000933128823,24.0,0.696000933128823,computed,subperiod
first_half,liquidity_growth,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,liquidity_growth,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,liquidity_shock,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,liquidity_shock,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,buy_sell_imbalance,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,buy_sell_imbalance,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
first_half,smart_money_flow_intensity,24,2024-02-16T22:00:00+00:00,2026-09-07T23:00:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
second_half,smart_money_flow_intensity,24,2026-09-08T00:00:00+00:00,2026-09-16T07:36:00+00:00,,,0,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,subperiod
