event_type,horizon,n_events,mean_return,median_return,aar,car,q05,q50,q95,hit_rate,bootstrap_ci_lower,bootstrap_ci_upper,overlap_rate,available_after_event_count,t_stat,p_value,control_definition,status,hypothesis_id,detector_percentile,experiment_variant,fdr_adjusted_p_value,significant_q05,significant_q10
volume_shock,1,913,-0.001074846787199536,-0.00020083213668076194,-0.001074846787199536,-0.001074846787199536,-0.08145809940839122,-0.00020083213668076194,0.08026262991748769,0.4644030668127054,-0.004546567275354497,0.0027537750709148738,0.7857142857142857,913,-0.5874945016780463,0.5570170644513666,unmatched raw event response; no causal claim,EXPLORATORY,H001,90.0,p90_h1,0.5588619281810328,False,False
volume_shock,4,887,-0.004029783167090014,-0.0026459272864214345,-0.004029783167090014,-0.004029783167090014,-0.1591156282948428,-0.0026459272864214345,0.15091393478173767,0.4024802705749718,-0.011323771046828851,0.0031843763887024925,0.92,887,-1.1011309800114903,0.2711387086934672,unmatched raw event response; no causal claim,EXPLORATORY,H001,90.0,p90_h4,0.4868266486457483,False,False
volume_shock,24,667,-0.04025807563197011,-0.03199263302494726,-0.04025807563197011,-0.04025807563197011,-0.37265511954155406,-0.03199263302494726,0.24106523019839687,0.31334332833583206,-0.05712408023632876,-0.022749442931095157,0.975609756097561,667,-4.550938490600839,6.348106011086582e-06,unmatched raw event response; no causal claim,EXPLORATORY,H001,90.0,p90_h24,7.617727213303899e-05,True,True
volume_shock,1,577,-0.0016654509288681807,-0.00010549946487248274,-0.0016654509288681807,-0.0016654509288681807,-0.07613302671533659,-0.00010549946487248274,0.07673318687261974,0.462738301559792,-0.005430956340332184,0.002101524448233763,0.7814569536423841,577,-0.7980619052350771,0.4251634615273327,unmatched raw event response; no causal claim,EXPLORATORY,H001,95.0,p95_h1,0.5588619281810328,False,False
volume_shock,4,561,-0.005972229836305077,-0.0009526016035543705,-0.005972229836305077,-0.005972229836305077,-0.1552495038338415,-0.0009526016035543705,0.13162715375186118,0.40106951871657753,-0.013015963875359401,0.0021453343261813975,0.9115646258503401,561,-1.5511766416315305,0.12142429182892309,unmatched raw event response; no causal claim,EXPLORATORY,H001,95.0,p95_h4,0.2914183003894154,False,False
volume_shock,24,421,-0.0380023537730786,-0.024725932586598942,-0.0380023537730786,-0.0380023537730786,-0.37122792546026806,-0.024725932586598942,0.23982107521112628,0.3159144893111639,-0.057533874893479935,-0.015182097558458993,0.975,421,-3.454919220911026,0.0006064661759442358,unmatched raw event response; no causal claim,EXPLORATORY,H001,95.0,p95_h24,0.0018193985278327075,True,True
volume_shock,1,409,-0.0016267637326649982,-9.05684575790433e-05,-0.0016267637326649982,-0.0016267637326649982,-0.08152714359729563,-9.05684575790433e-05,0.08107544863408823,0.45965770171149145,-0.007169029037635735,0.004058902892275774,0.78,409,-0.5850136439095519,0.5588619281810328,unmatched raw event response; no causal claim,EXPLORATORY,H001,97.5,p97.5_h1,0.5588619281810328,False,False
volume_shock,4,400,-0.004901064186193725,-0.0003586656593943527,-0.004901064186193725,-0.004901064186193725,-0.15926741244493767,-0.0003586656593943527,0.13272693495948867,0.405,-0.01472966632347175,0.0047343156787413975,0.910958904109589,400,-0.9863663917519253,0.32455109909716556,unmatched raw event response; no causal claim,EXPLORATORY,H001,97.5,p97.5_h4,0.4868266486457483,False,False
volume_shock,24,304,-0.05008077705838937,-0.020285379349706312,-0.05008077705838937,-0.05008077705838937,-0.39211276990695965,-0.020285379349706312,0.1788271095151857,0.3157894736842105,-0.07570265891086786,-0.02554400436668256,0.9747899159663865,304,-3.9122313146244276,0.00011294239376364191,unmatched raw event response; no causal claim,EXPLORATORY,H001,97.5,p97.5_h24,0.00045176957505456763,True,True
volume_shock,1,409,-0.0016267637326649982,-9.05684575790433e-05,-0.0016267637326649982,-0.0016267637326649982,-0.08152714359729563,-9.05684575790433e-05,0.08107544863408823,0.45965770171149145,-0.007169029037635735,0.004058902892275774,0.78,409,-0.5850136439095519,0.5588619281810328,unmatched raw event response; no causal claim,EXPLORATORY,H001,99.0,p99_h1,0.5588619281810328,False,False
volume_shock,4,400,-0.004901064186193725,-0.0003586656593943527,-0.004901064186193725,-0.004901064186193725,-0.15926741244493767,-0.0003586656593943527,0.13272693495948867,0.405,-0.01472966632347175,0.0047343156787413975,0.910958904109589,400,-0.9863663917519253,0.32455109909716556,unmatched raw event response; no causal claim,EXPLORATORY,H001,99.0,p99_h4,0.4868266486457483,False,False
volume_shock,24,304,-0.05008077705838937,-0.020285379349706312,-0.05008077705838937,-0.05008077705838937,-0.39211276990695965,-0.020285379349706312,0.1788271095151857,0.3157894736842105,-0.07570265891086786,-0.02554400436668256,0.9747899159663865,304,-3.9122313146244276,0.00011294239376364191,unmatched raw event response; no causal claim,EXPLORATORY,H001,99.0,p99_h24,0.00045176957505456763,True,True
